name,position,club,birthday_string,month,month_number,quarter,semester
Thibaut Courtois,,Real Madrid,"May 11, 1992",May,5,Q2,S1
Andriy Lunin,,Real Madrid,"Feb 11, 1999",Feb,2,Q1,S1
Éder Militão,,Real Madrid,"Jan 18, 1998",Jan,1,Q1,S1
David Alaba,,Real Madrid,"Jun 24, 1992",Jun,6,Q2,S1
Antonio Rüdiger,,Real Madrid,"Mar 3, 1993 ",Mar,3,Q1,S1
Nacho Fernández,,Real Madrid,"Jan 18, 1990",Jan,1,Q1,S1
Jesús Vallejo,,Real Madrid,"Jan 5, 1997 ",Jan,1,Q1,S1
Ferland Mendy,,Real Madrid,"Jun 8, 1995 ",Jun,6,Q2,S1
Daniel Carvajal,,Real Madrid,"Jan 11, 1992",Jan,1,Q1,S1
Lucas Vázquez,,Real Madrid,"Jul 1, 1991 ",Jul,7,Q3,S2
Álvaro Odriozola,,Real Madrid,"Dec 14, 1995",Dec,12,Q4,S2
Aurélien Tchouameni,,Real Madrid,"Jan 27, 2000",Jan,1,Q1,S1
Federico Valverde,,Real Madrid,"Jul 22, 1998",Jul,7,Q3,S2
Eduardo Camavinga,,Real Madrid,"Nov 10, 2002",Nov,11,Q4,S2
Toni Kroos,,Real Madrid,"Jan 4, 1990 ",Jan,1,Q1,S1
Luka Modric,,Real Madrid,"Sep 9, 1985 ",Sep,9,Q3,S2
Dani Ceballos,,Real Madrid,"Aug 7, 1996 ",Aug,8,Q3,S2
Vinicius Junior,,Real Madrid,"Jul 12, 2000",Jul,7,Q3,S2
Eden Hazard,,Real Madrid,"Jan 7, 1991 ",Jan,1,Q1,S1
Rodrygo,,Real Madrid,"Jan 9, 2001 ",Jan,1,Q1,S1
Marco Asensio,,Real Madrid,"Jan 21, 1996",Jan,1,Q1,S1
Karim Benzema,,Real Madrid,"Dec 19, 1987",Dec,12,Q4,S2
Mariano Díaz,,Real Madrid,"Aug 1, 1993 ",Aug,8,Q3,S2
Marc-André ter Stegen,,FC Barcelona,"Apr 30, 1992",Apr,4,Q2,S1
Iñaki Peña,,FC Barcelona,"Mar 2, 1999 ",Mar,3,Q1,S1
Arnau Tenas,,FC Barcelona,"May 30, 2001",May,5,Q2,S1
Ronald Araújo,,FC Barcelona,"Mar 7, 1999 ",Mar,3,Q1,S1
Jules Kounde,,FC Barcelona,"Nov 12, 1998",Nov,11,Q4,S2
Andreas Christensen,,FC Barcelona,"Apr 10, 1996",Apr,4,Q2,S1
Eric García,,FC Barcelona,"Jan 9, 2001 ",Jan,1,Q1,S1
Alejandro Balde,,FC Barcelona,"Oct 18, 2003",Oct,10,Q4,S2
Marcos Alonso,,FC Barcelona,"Dec 28, 1990",Dec,12,Q4,S2
Jordi Alba,,FC Barcelona,"Mar 21, 1989",Mar,3,Q1,S1
Sergi Roberto,,FC Barcelona,"Feb 7, 1992 ",Feb,2,Q1,S1
Sergio Busquets,,FC Barcelona,"Jul 16, 1988",Jul,7,Q3,S2
Pedri,,FC Barcelona,"Nov 25, 2002",Nov,11,Q4,S2
Gavi,,FC Barcelona,"Aug 5, 2004 ",Aug,8,Q3,S2
Frenkie de Jong,,FC Barcelona,"May 12, 1997",May,5,Q2,S1
Franck Kessié,,FC Barcelona,"Dec 19, 1996",Dec,12,Q4,S2
Pablo Torre,,FC Barcelona,"Apr 3, 2003 ",Apr,4,Q2,S1
Ansu Fati,,FC Barcelona,"Oct 31, 2002",Oct,10,Q4,S2
Ferran Torres,,FC Barcelona,"Feb 29, 2000",Feb,2,Q1,S1
Ousmane Dembélé,,FC Barcelona,"May 15, 1997",May,5,Q2,S1
Raphinha,,FC Barcelona,"Dec 14, 1996",Dec,12,Q4,S2
Robert Lewandowski,,FC Barcelona,"Aug 21, 1988",Aug,8,Q3,S2
Jan Oblak,,Atlético de Madrid,"Jan 7, 1993 ",Jan,1,Q1,S1
Ivo Grbic,,Atlético de Madrid,"Jan 18, 1996",Jan,1,Q1,S1
José María Giménez,,Atlético de Madrid,"Jan 20, 1995",Jan,1,Q1,S1
Mario Hermoso,,Atlético de Madrid,"Jun 18, 1995",Jun,6,Q2,S1
Stefan Savic,,Atlético de Madrid,"Jan 8, 1991 ",Jan,1,Q1,S1
Reinildo Mandava,,Atlético de Madrid,"Jan 21, 1994",Jan,1,Q1,S1
Sergio Reguilón,,Atlético de Madrid,"Dec 16, 1996",Dec,12,Q4,S2
Nahuel Molina,,Atlético de Madrid,"Apr 6, 1998 ",Apr,4,Q2,S1
Matt Doherty,,Atlético de Madrid,"Jan 16, 1992",Jan,1,Q1,S1
Geoffrey Kondogbia,,Atlético de Madrid,"Feb 15, 1993",Feb,2,Q1,S1
Axel Witsel,,Atlético de Madrid,"Jan 12, 1989",Jan,1,Q1,S1
Rodrigo de Paul,,Atlético de Madrid,"May 24, 1994",May,5,Q2,S1
Marcos Llorente,,Atlético de Madrid,"Jan 30, 1995",Jan,1,Q1,S1
Koke,,Atlético de Madrid,"Jan 8, 1992 ",Jan,1,Q1,S1
Saúl Ñíguez,,Atlético de Madrid,"Nov 21, 1994",Nov,11,Q4,S2
Pablo Barrios,,Atlético de Madrid,"Jun 15, 2003",Jun,6,Q2,S1
Thomas Lemar,,Atlético de Madrid,"Nov 12, 1995",Nov,11,Q4,S2
Yannick Carrasco,,Atlético de Madrid,"Sep 4, 1993 ",Sep,9,Q3,S2
Ángel Correa,,Atlético de Madrid,"Mar 9, 1995 ",Mar,3,Q1,S1
Antoine Griezmann,,Atlético de Madrid,"Mar 21, 1991",Mar,3,Q1,S1
Álvaro Morata,,Atlético de Madrid,"Oct 23, 1992",Oct,10,Q4,S2
Memphis Depay,,Atlético de Madrid,"Feb 13, 1994",Feb,2,Q1,S1
Álex Remiro,,Real Sociedad,"Mar 24, 1995",Mar,3,Q1,S1
Andoni Zubiaurre,,Real Sociedad,"Dec 4, 1996 ",Dec,12,Q4,S2
Robin Le Normand,,Real Sociedad,"Nov 11, 1996",Nov,11,Q4,S2
Igor Zubeldia,,Real Sociedad,"Mar 30, 1997",Mar,3,Q1,S1
Aritz Elustondo,,Real Sociedad,"Mar 28, 1994",Mar,3,Q1,S1
Jon Pacheco,,Real Sociedad,"Jan 8, 2001 ",Jan,1,Q1,S1
Aihen Muñoz,,Real Sociedad,"Aug 16, 1997",Aug,8,Q3,S2
Diego Rico,,Real Sociedad,"Feb 23, 1993",Feb,2,Q1,S1
Andoni Gorosabel,,Real Sociedad,"Aug 4, 1996 ",Aug,8,Q3,S2
Álex Sola,,Real Sociedad,"Jun 9, 1999 ",Jun,6,Q2,S1
Martín Zubimendi,,Real Sociedad,"Feb 2, 1999 ",Feb,2,Q1,S1
Asier Illarramendi,,Real Sociedad,"Mar 8, 1990 ",Mar,3,Q1,S1
Mikel Merino,,Real Sociedad,"Jun 22, 1996",Jun,6,Q2,S1
Ander Guevara,,Real Sociedad,"Jul 7, 1997 ",Jul,7,Q3,S2
Beñat Turrientes,,Real Sociedad,"Jan 31, 2002",Jan,1,Q1,S1
Brais Méndez,,Real Sociedad,"Jan 7, 1997 ",Jan,1,Q1,S1
Robert Navarro,,Real Sociedad,"Apr 12, 2002",Apr,4,Q2,S1
David Silva,,Real Sociedad,"Jan 8, 1986 ",Jan,1,Q1,S1
Mikel Oyarzabal,,Real Sociedad,"Apr 21, 1997",Apr,4,Q2,S1
Ander Barrenetxea,,Real Sociedad,"Dec 27, 2001",Dec,12,Q4,S2
Martín Merquelanz,,Real Sociedad,"Jun 12, 1995",Jun,6,Q2,S1
Takefusa Kubo,,Real Sociedad,"Jun 4, 2001 ",Jun,6,Q2,S1
Umar Sadiq,,Real Sociedad,"Feb 2, 1997 ",Feb,2,Q1,S1
Momo Cho,,Real Sociedad,"Jan 19, 2004",Jan,1,Q1,S1
Alexander Sörloth,,Real Sociedad,"Dec 5, 1995 ",Dec,12,Q4,S2
Carlos Fernández,,Real Sociedad,"May 22, 1996",May,5,Q2,S1
Filip Jörgensen,,Villarreal CF,"Apr 16, 2002",Apr,4,Q2,S1
Pepe Reina,,Villarreal CF,"Aug 31, 1982",Aug,8,Q3,S2
Pau Torres,,Villarreal CF,"Jan 16, 1997",Jan,1,Q1,S1
Jorge Cuenca,,Villarreal CF,"Nov 17, 1999",Nov,11,Q4,S2
Aïssa Mandi,,Villarreal CF,"Oct 22, 1991",Oct,10,Q4,S2
Raúl Albiol,,Villarreal CF,"Sep 4, 1985 ",Sep,9,Q3,S2
Alfonso Pedraza,,Villarreal CF,"Apr 9, 1996 ",Apr,4,Q2,S1
Johan Mojica,,Villarreal CF,"Aug 21, 1992",Aug,8,Q3,S2
Alberto Moreno,,Villarreal CF,"Jul 5, 1992 ",Jul,7,Q3,S2
Juan Foyth,,Villarreal CF,"Jan 12, 1998",Jan,1,Q1,S1
Kiko Femenía,,Villarreal CF,"Feb 2, 1991 ",Feb,2,Q1,S1
Francis Coquelin,,Villarreal CF,"May 13, 1991",May,5,Q2,S1
Étienne Capoue,,Villarreal CF,"Jul 11, 1988",Jul,7,Q3,S2
Giovani Lo Celso,,Villarreal CF,"Apr 9, 1996 ",Apr,4,Q2,S1
Dani Parejo,,Villarreal CF,"Apr 16, 1989",Apr,4,Q2,S1
Manu Trigueros,,Villarreal CF,"Oct 17, 1991",Oct,10,Q4,S2
Álex Baena,,Villarreal CF,"Jul 20, 2001",Jul,7,Q3,S2
Yéremy Pino,,Villarreal CF,"Oct 20, 2002",Oct,10,Q4,S2
Samuel Chukwueze,,Villarreal CF,"May 22, 1999",May,5,Q2,S1
Gerard Moreno,,Villarreal CF,"Apr 7, 1992 ",Apr,4,Q2,S1
Nicolas Jackson,,Villarreal CF,"Jun 20, 2001",Jun,6,Q2,S1
José Luis Morales,,Villarreal CF,"Jul 23, 1987",Jul,7,Q3,S2
Rui Silva,,Real Betis Balompié,"Feb 7, 1994 ",Feb,2,Q1,S1
Dani Martín,,Real Betis Balompié,"Jul 8, 1998 ",Jul,7,Q3,S2
Claudio Bravo,,Real Betis Balompié,"Apr 13, 1983",Apr,4,Q2,S1
Luiz Felipe,,Real Betis Balompié,"Mar 22, 1997",Mar,3,Q1,S1
Edgar González,,Real Betis Balompié,"Apr 1, 1997 ",Apr,4,Q2,S1
Germán Pezzella,,Real Betis Balompié,"Jun 27, 1991",Jun,6,Q2,S1
Víctor Ruiz,,Real Betis Balompié,"Jan 25, 1989",Jan,1,Q1,S1
Abner,,Real Betis Balompié,"May 27, 2000",May,5,Q2,S1
Juan Miranda,,Real Betis Balompié,"Jan 19, 2000",Jan,1,Q1,S1
Aitor Ruibal,,Real Betis Balompié,"Mar 22, 1996",Mar,3,Q1,S1
Youssouf Sabaly,,Real Betis Balompié,"Mar 5, 1993 ",Mar,3,Q1,S1
Martín Montoya,,Real Betis Balompié,"Apr 14, 1991",Apr,4,Q2,S1
Guido Rodríguez,,Real Betis Balompié,"Apr 12, 1994",Apr,4,Q2,S1
William Carvalho,,Real Betis Balompié,"Apr 7, 1992 ",Apr,4,Q2,S1
Paul Akouokou,,Real Betis Balompié,"Dec 20, 1997",Dec,12,Q4,S2
Andrés Guardado,,Real Betis Balompié,"Sep 28, 1986",Sep,9,Q3,S2
Nabil Fekir,,Real Betis Balompié,"Jul 18, 1993",Jul,7,Q3,S2
Sergio Canales,,Real Betis Balompié,"Feb 16, 1991",Feb,2,Q1,S1
Juanmi,,Real Betis Balompié,"May 20, 1993",May,5,Q2,S1
Rodri Sánchez,,Real Betis Balompié,"Feb 16, 2000",Feb,2,Q1,S1
Luiz Henrique,,Real Betis Balompié,"Jan 2, 2001 ",Jan,1,Q1,S1
Juan Cruz,,Real Betis Balompié,"Apr 25, 2000",Apr,4,Q2,S1
Joaquín,,Real Betis Balompié,"Jul 21, 1981",Jul,7,Q3,S2
